"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Nano ","EIB",6,1,159,1,0,3,6,0,0
"Siovas Dimitrios  D.","LGN",16,16,1392,1,0,4,9,4,0
"Ingason Sverrir Ingi  S.","GRA",17,17,1473,1,0,1,5,7,0
"Ely Rodrigo  R.","ALA",10,8,788,1,0,1,7,4,0
"Hjulsager Andrew  A.","CEL",7,3,259,1,0,3,8,0,0
"Echiejile Elderson  E.","GIJ",3,2,197,1,0,1,1,0,0
"Alvaro ","VIL",25,22,2063,1,1,2,10,9,0
"Cuellar Ivan  I.","GIJ",36,36,3240,0,0,0,0,5,0
"Halilovic Alen  A.","LP",18,6,645,0,2,6,16,2,0
"Lora ","GIJ",7,4,376,0,0,0,3,2,1
"Lopez Isma  I.","GIJ",27,19,1727,0,3,3,12,5,0
"Mere Jorge  J.","GIJ",31,31,2774,0,0,2,9,7,1
"Ndi Dani  D.","GIJ",6,1,149,0,0,0,3,0,0
"Rachid ",NA,8,6,494,0,0,0,5,3,0
"Capa ","EIB",31,29,2552,0,3,2,9,10,1
"Dos Santos Mauro  M.","EIB",11,8,761,0,0,0,2,1,0
"Junca ","EIB",9,7,683,0,2,0,4,1,0
"Keko ","MAG",22,13,1054,0,3,3,17,6,0
"Lillo ","GIJ",25,24,2137,0,0,2,6,8,1
"Pantic Aleksandar  A.",NA,2,1,154,0,0,0,1,1,0
"Peleteiro Jota  J.",NA,5,3,204,0,0,0,3,0,0
"Riesgo Asier  A.","EIB",16,16,1253,0,0,0,0,0,2
"Boveda Eneko  E.","ATH",19,18,1559,0,0,0,1,1,0
"Elustondo Gorka  G.","ATH",2,1,104,0,0,1,1,0,0
"Eraso ","ATH",7,4,377,0,1,0,5,2,0
"Etxeita ","ATH",10,7,712,0,0,1,2,2,0
"Herrerin Iago  I.","LGN",21,21,1826,0,0,0,0,0,1
"Iraizoz ","ATH",16,15,1404,0,0,0,0,1,0
"Iturraspe Ander  A.","ATH",24,12,1151,0,1,1,3,3,0
"Villalibre Asier  A.",NA,6,0,72,0,1,0,1,0,0
"Bravo Claudio  C.",NA,1,1,90,0,0,0,0,0,0
"Busquets Sergio  S.","BAR",33,33,2693,0,3,0,4,9,0
"Iniesta Andres  A.","BAR",23,13,1332,0,3,7,18,2,0
"Ortola Adria  A.","ALA",2,2,180,0,0,0,0,0,0
"Roberto Sergi  S.","BAR",32,26,2382,0,6,5,16,5,0
"Samper Sergi  S.","GRA",22,13,1268,0,1,3,6,6,0
"Ter Stegen Marc-Andre  M.","BAR",36,36,3240,0,0,0,0,1,0
"Gomez Sergi  S.","CEL",25,21,1905,0,0,1,3,6,2
"Jonny ","CEL",30,23,2207,0,3,4,12,8,0
"Planas Carles  C.","CEL",12,11,948,0,0,0,2,3,0
"Ruben ","CEL",11,11,990,0,0,0,0,2,0
"Sene Josep  J.","CEL",13,8,664,0,2,4,15,1,0
"Alvarez Sergio  S.","CEL",26,26,2340,0,1,0,0,0,1
"Arbilla Anaitz  A.","EIB",22,17,1573,0,2,2,9,5,0
"Ciani Michael  M.",NA,1,0,53,0,0,0,0,0,0
"Diop Pape  P.","ESP",18,9,899,0,0,0,4,6,0
"Duarte Ruben  R.","ESP",3,1,101,0,0,0,0,1,0
"Duarte Oscar  O.","ESP",15,13,1124,0,0,1,6,4,0
"Fuentes ","OSA",17,16,1287,0,1,1,1,5,0
"Lopez Javi  J.","ESP",19,17,1524,0,1,0,1,3,0
"Sevilla Salva  S.","ESP",6,3,268,0,0,0,1,1,0
"Alvarez Victor  V.","ESP",4,2,202,0,0,0,0,2,0
"Arribas ","DEP",23,20,1907,0,0,4,13,7,0
"Cartabia Fede  F.",NA,4,2,152,0,0,0,2,0,0
"Fajr Faycal  F.","DEP",24,14,1202,0,2,8,20,4,1
"Juanfran ","DEP",34,34,2961,0,6,7,24,4,1
"Laure ","DEP",7,4,425,0,0,0,0,0,1
"Luisinho ","DEP",26,20,1907,0,2,0,13,6,0
"Lux German  G.","DEP",25,25,2205,0,0,0,0,5,0
"Navarro Fernando  F.","DEP",25,22,2051,0,0,0,4,6,0
"Artiles Aythami  A.","LP",11,8,836,0,0,2,5,6,1
"Castellano Dani  D.","LP",27,25,2109,0,1,3,9,2,0
"Hernan ","LP",10,3,288,0,0,1,7,3,1
"Lizoain Raul  R.","LP",13,13,1170,0,0,0,0,2,0
"Montoro ","LP",17,12,1107,0,0,1,4,1,0
"Simon David  D.","LP",16,14,1321,0,1,4,11,3,0
"Varas Javi  J.","LP",25,25,2250,0,0,0,0,0,0
"Kameni Carlos  C.","MAG",35,35,3150,0,0,0,0,2,0
"Ochoa Guillermo  G.","GRA",38,38,3420,0,0,0,0,2,0
"Ricca Federico  F.","MAG",21,19,1619,0,1,3,10,6,0
"Torres Miguel  M.","MAG",22,18,1565,0,0,2,4,4,0
"Weligton ","MAG",1,1,90,0,0,0,0,1,0
"Carvajal Dani  D.","RMD",23,21,2014,0,4,4,9,11,0
"Casilla Kiko  K.","RMD",11,11,990,0,0,0,0,0,0
"Llorente Marcos  M.","ALA",32,31,2805,0,2,1,14,5,0
"Navas Keylor  K.","RMD",27,27,2430,0,0,0,0,2,0
"Tejero Alvaro  A.","RMD",1,0,2,0,0,0,0,0,0
"Bergara Markel  M.","RSO",6,3,286,0,0,0,0,0,0
"Canales Sergio  S.","RSO",31,7,993,0,4,6,19,2,0
"Elustondo Aritz  A.","RSO",9,4,461,0,0,0,4,0,1
"Gonzalez Mikel  M.","RSO",9,8,665,0,0,0,1,2,0
"Granero Esteban  E.","RSO",19,8,693,0,1,3,10,6,1
"Hernandez Hector  H.","GRA",17,13,1163,0,2,0,6,2,0
"Martinez Carlos  C.","RSO",10,10,870,0,2,1,1,2,0
"Odriozola Alvaro  A.","RSO",15,15,1285,0,4,0,1,0,0
"Rulli Geronimo  G.","RSO",38,38,3420,0,0,0,0,4,0
"Zaldua Joseba  J.","RSO",14,12,1104,0,1,2,7,3,1
"Zubeldia Igor  I.","RSO",4,3,254,0,0,0,2,1,0
"Abdennour Aymen  A.","VAL",13,9,878,0,0,0,2,4,0
"Alves Diego  D.","VAL",33,33,2970,0,0,0,0,4,0
"Cheryshev Denis  D.","VIL",11,2,335,0,0,3,7,1,0
"Domenech Jaume  J.","VAL",3,3,270,0,0,0,0,0,0
"Gil Nacho  N.","VAL",2,0,3,0,0,0,0,0,0
"Lato Toni  T.","VAL",8,4,481,0,1,0,0,2,0
"Mir Rafa  R.","VAL",2,0,5,0,0,0,0,0,0
"Mustafi Shkodran  S.",NA,1,0,45,0,0,0,1,0,0
"Perez Enzo  E.","VAL",27,26,2195,0,1,2,11,14,1
"Ryan Mathew  M.",NA,2,2,180,0,0,0,0,0,0
"Santos Aderllan  A.","VAL",12,11,1001,0,0,2,3,1,0
"Siqueira Guilherme  G.","VAL",10,7,541,0,1,0,0,2,0
"Sito ","VAL",1,0,1,0,0,0,0,0,0
"Vezo Ruben  R.","GRA",19,18,1534,0,1,3,6,4,1
"Asenjo Sergio  S.","VIL",24,24,2105,0,0,0,0,0,0
"Bonera Daniele  D.","VIL",6,6,540,0,0,0,0,2,0
"Garcia Samu  S.","LGN",11,5,528,0,1,1,8,0,0
"Rodri ","VIL",23,8,837,0,1,1,8,1,0
"Leiva Nahuel  N.","BET",10,0,148,0,0,0,1,0,1
"Mario ","VIL",36,36,3240,0,3,11,30,6,0
"Marin Adrian  A.","LGN",13,11,912,0,0,3,7,3,0
"Musacchio ","VIL",23,23,2067,0,2,1,8,6,0
"Rukavina Antonio  A.","VIL",4,3,271,0,0,0,1,2,0
"Agbo Uche  U.","GRA",31,28,2385,0,0,4,13,14,2
"Barral David  D.",NA,8,2,310,0,1,2,8,1,0
"Fernandez Andres  A.","VIL",15,14,1315,0,0,0,0,2,0
"Foulquier Dimitri  D.","GRA",22,21,1872,0,2,0,3,5,0
"Krhin Rene  R.","GRA",12,11,937,0,0,1,3,0,0
"Marquez Javi  J.",NA,7,4,397,0,1,2,11,2,0
"Penaranda Adalberto  A.","MAG",3,1,171,0,0,0,0,1,0
"Perez Ruben  R.","LGN",30,26,2335,0,1,4,19,9,0
"Adan ","BET",37,37,3330,0,0,0,0,5,0
